Priority Rank,ADP Opportunity Score,Track,Firm Name,Legal Name,Owner Name,Phone,Email,Website,Address,ZIP,Founded,Employee Signal,Services,Payroll Confirmed,Client Base,Software Detected,Caribbean / Community Signal,Yelp Active,Social Media,Non-ADP Signal,Best Opening Line,Best Contact Method,Risk Flags,Source Confidence
1,★★★★★,Track 1 - Grid/Buyout,Jean-Claude Denis Income Tax Service,Jean C. Denis Income Tax Service,Jean-Claude Denis,(718) 284-1325,jeanclaudedenis@hotmail.com,jeanclaudedenis.com,"2804 Church Ave, Brooklyn NY 11226 (Flatbush)",11226,1982,~3,Accounting / tax preparation / bookkeeping / payroll services,YES - explicitly listed in Buzzfile industry classification + service description,"Flatbush/Church Ave corridor; Haitian and Caribbean small businesses",Unknown — independent processor,Haitian (unmistakably Haitian name; Church Ave 11226 is the heart of Brooklyn's Haitian-American community; founded 1982 = community institution for 44 years),YES,Facebook: jcdtaxservice,Independent since 1982; no ADP affiliation; Church Ave community institution; hotmail.com email = no corporate IT,"Mr. Denis — you've been serving the Church Avenue community since 1982. I'm with ADP and we're building a partnership program specifically for established independent firms like yours that process payroll for local businesses. I'd love 15 minutes.",Phone (718) 284-1325 or walk-in at 2804 Church Ave,"44-year-old sole practitioner — set in established workflows; walk-in during business hours may be more effective than cold call; hotmail email suggests tech may not be primary channel",HIGH — Yelp + Buzzfile + jeanclaudedenis.com confirmed
2,★★★★★,Track 1 - Grid/Buyout,MCBtax,MCBtax LLC,"Mona Chapoteau (RTRP, Business Financial Consultant); David Lee (Director)",(347) 464-9153,Via mcbtax.com,mcbtax.com,"271 Cadman Plaza East #23682, Brooklyn NY 11201 (Downtown Brooklyn / virtual)",11201,Est. 2010,10-19,Tax preparation / accounting / bookkeeping / money management / back-office support / payroll services,YES - explicitly listed on services page,"Haitian-American community and broader NYC small businesses; listed TWICE on Pajla.com (Haiti-specific business directory)",Unknown — independent,Haitian (dual listing on Pajla.com — the Haitian business directory — is the strongest possible community signal; Mona Chapoteau is a Haitian surname),YES,LinkedIn: MCBtax; Alignable,Listed on Haitian community business directories; independent micro-firm; no ADP affiliation,"Mona — I came across MCBtax on the Haitian business community directory. I'm with ADP and I'd love to talk about how we can support the payroll work you're doing for your small business clients — specifically a program that generates recurring revenue for your firm.",Phone (347) 464-9153 or website contact form,"Virtual/mobile office (Cadman Plaza is a shared address) — confirm scope of payroll processing on first call; may have smaller active payroll book than a brick-and-mortar practice",HIGH — Pajla.com (x2) + Yelp + Alignable confirmed
3,★★★★★,Track 1 - Grid/Buyout,Wayne Daniel CPA PLLC,Wayne Daniel CPA PLLC,Wayne Daniel CPA,(347) 201-2663,Via waynedanielcpa.com/contact,waynedanielcpa.com,"300 E 48th St, Brooklyn NY 11203 (East Flatbush / Little Caribbean)",11203,Est. 2015,3-5,"Business tax returns / bookkeeping / payroll / 1099 filings / IRS audits & representation / business start-up / ITIN applications",YES - explicit service,"MWBEs — emphasis on construction; IRS Certifying Acceptance Agent (serves immigrants); East Flatbush",Unknown — independent,Caribbean (Saint Lucia connection confirmed via ZoomInfo; junior associate Kerah Joseph = Saint Lucian/Caribbean name; East Flatbush/Little Caribbean is the geographic heart of Brooklyn's Caribbean community; IRS Acceptance Agent = immigrant-serving),YES - 12+ photos,Facebook: @waynedanielcpafirm; LinkedIn: Wayne Daniel CPA PLLC,MWBE-focused independent; no ADP affiliation; immigrant/construction niche,"Wayne — your focus on MWBEs in construction caught my eye. I'm with ADP and we work with a lot of contractors in Brooklyn. Your construction clients especially need payroll done right — I'd love to explore whether ADP's platform could take some weight off your plate.",Phone (347) 201-2663,"Construction MWBEs are complex payroll clients (prevailing wage, certified payroll reports) — lead with ADP's construction payroll capabilities; confirm he processes payroll directly vs. refers out",HIGH — waynedanielcpa.com + Yelp + ZoomInfo confirmed
4,★★★★★,Track 1 - Grid/Buyout,Phillips Accounting & Tax Services,Phillips Accounting & Tax Services,"Dwayne R. Phillips Sr., EA (Enrolled Agent)",(718) 790-8120,"d***@phillipstaxservices.com (partial — confirm via phone)",phillipstaxservices.com,"746 E 51st St, Brooklyn NY 11203 (East Flatbush — between Clarendon Rd & Ave D)",11203,Est. 2000,2-5,"Business/personal tax returns / ITIN / payroll processing & payroll tax returns / audit representation / business formation / sales tax / bookkeeping / financial statements / QuickBooks",YES - explicit: payroll processing AND payroll tax returns listed separately,"Medical, hotel, construction, auto repair, restaurants, daycare, nonprofits in East Flatbush",QuickBooks (explicitly listed) — no ADP,Caribbean (Dwayne Phillips — name and 20+ year East Flatbush practice; East Flatbush is demographically Caribbean-majority; QuickBooks user = not ADP),YES,LinkedIn: Dwayne Phillips Sr.,Independent EA for 20+ years; QuickBooks user (non-ADP); no corporate affiliation,"Dwayne — you've been doing payroll processing for businesses in East Flatbush for over 20 years — medical, restaurants, construction. That's exactly the kind of mixed industry book ADP was built to support. I'd love to talk about how ADP could reduce your processing time and add a revenue stream.",Phone (718) 790-8120,"Strong QuickBooks loyalty — lead with time savings and compliance automation, not just revenue; confirm payroll processing is direct (Track 1) not referral (Track 2)",HIGH — phillipstaxservices.com + Yelp + ZoomInfo confirmed
5,★★★★★,Track 1 - Grid/Buyout,Griffiths Tax and Accounting CPA LLC,Griffiths Tax and Accounting CPA LLC,"Sandra Griffiths-Manning, CPA, CFE",(718) 209-3652,info@griffithscpa.com,griffithscpa.com,"9610 Ave L, Brooklyn NY 11236 (Canarsie)",11236,2005,3-7,Tax returns / payroll / sales tax / bookkeeping / audits (for-profit and nonprofit) / reviews and compilations,YES - explicit,"Canarsie community; small-to-medium businesses; nonprofits; national clients",Unknown — independent,Caribbean (Griffiths is a classic Barbadian/Trinidadian surname; Canarsie has one of the highest concentrations of Caribbean immigrants in Brooklyn; left Deloitte in 2005 specifically to serve the Canarsie community),YES,LinkedIn: Sandra Griffiths CPA CFE,Left Deloitte Big 4 to go independent — 20 years building own firm; no corporate payroll vendor affiliation; community anchor,"Sandra — you left Deloitte to serve the Canarsie community, which tells me you're intentional about independence. I'm with ADP and we have a program where you keep that independence while adding our enterprise payroll infrastructure behind your clients — and generating recurring revenue for the firm.",Phone (718) 209-3652 or email info@griffithscpa.com,"Former Big 4 = sophisticated buyer who will ask hard questions — come prepared with data; lead with compliance and liability reduction, not just revenue; she may already have evaluated ADP",HIGH — griffithscpa.com + Yelp confirmed
6,★★★★☆,Track 1 - Grid/Buyout,M W Moore & Associates,M Moore Inc. / M J Moore Enterprises Inc.,Mikhael Moore (MBA),(347) 389-5172 / (718) 221-0450,Via mmooreinc.com/contact,mmooreinc.com,"1431 Nostrand Ave, Brooklyn NY 11226 (Flatbush)",11226,Est. 2015,2-4,Tax services (business/personal/sales) / payroll services / advisory / audit — payroll included in EVERY service package,YES - payroll included in every package tier,"Flatbush/Nostrand Ave corridor; small businesses; Caribbean community corridor",Unknown — independent,Caribbean (Mikhael Moore — name + Nostrand Ave 11226 which is the main Caribbean commercial corridor; Birdeye 31 reviews),YES — Yelp categorized under Payroll Services,LinkedIn: Mikhael Moore,Started at R&G Brenner then went fully independent; no ADP affiliation; Nostrand Ave community presence,"Mikhael — your firm is right in the heart of Nostrand Ave and I can see payroll is baked into every package you offer. I'm with ADP and I'd love to talk about how we can take the backend compliance off your plate or structure a referral program that adds revenue for every client you send our way.",Phone (347) 389-5172,"Dual phone numbers — try both; Yelp explicit categorization under Payroll Services is strong signal; confirm direct processing vs. referral model",MEDIUM-HIGH — Yelp + mmooreinc.com + Birdeye confirmed
7,★★★★☆,Track 1 - Grid/Buyout,Ideal Accountax Services LLC,Ideal Accountax Services LLC,"Christian Otuonye, MBA, CPA",(718) 363-0119,info@idealaccountax.com,idealaccountax.com,"222 Utica Ave, Brooklyn NY 11213 (Crown Heights)",11213,2014,Part-time team — bookkeepers / tax preparers / computer technicians,"Financial statements / bookkeeping / QuickBooks / tax prep / auditing / payroll services / payroll taxes / sales tax / 1099s & W2s",YES - explicit: payroll services AND payroll taxes AND 1099s/W2s listed separately,"Construction, hospitality, retail, nonprofits — NYC/PA/tri-state; Crown Heights",QuickBooks (Certified QuickBooks ProAdvisor) — no ADP,West African / Nigerian (Otuonye is an Igbo/Nigerian surname; 222 Utica Ave Crown Heights is a majority Caribbean/African immigrant neighborhood; also listed in Haitian business directories = serves that community),YES,Nextdoor; ZoomInfo; LinkedIn,QuickBooks ProAdvisor (non-ADP software); independent firm; no corporate payroll vendor affiliation,"Christian — your team on Utica Avenue is doing the full stack: payroll taxes, 1099s, W2s, QuickBooks. As a QuickBooks ProAdvisor, you'd be a great fit for ADP's partner program — we integrate cleanly with QuickBooks and you'd earn revenue share on every payroll client.",Phone (718) 363-0119 or email info@idealaccountax.com,"QuickBooks loyalty is strong — lead with ADP/QuickBooks integration story; West African professional serving Caribbean community is a common pattern in Crown Heights so he likely has Caribbean small business clients",MEDIUM-HIGH — idealaccountax.com + Manta + Nextdoor confirmed
8,★★★★☆,Track 1 - Grid/Buyout,Caribbean Tax Service Inc,Caribbean Tax Service Inc,Juan Cabrera (listed tax preparer),(718) 732-3335,Not found,Not found,"922 Broadway, Brooklyn NY 11206 (Bushwick/Bed-Stuy border)",11206,2013,~7,Accounting / tax preparation / bookkeeping / payroll services,YES - listed in D&B,"Caribbean community; name explicitly markets to Caribbean clientele",Unknown — independent,Caribbean (firm name IS the qualifier; Juan Cabrera may be Dominican/Puerto Rican Caribbean; Bed-Stuy/Bushwick has growing Caribbean population),Partial — FindTaxExperts listing,Unknown,Small independent firm; 7 employees; no ADP affiliation; no web presence = almost certainly not in any corporate CRM,"Good morning — I'm looking for the owner of Caribbean Tax Service. I'm with ADP and we work with a lot of firms in the Caribbean community in Brooklyn. I'd love to talk about how we can support your payroll clients.",Phone (718) 732-3335 — cold call; walk-in at 922 Broadway,"No website found; no email — phone only; Juan Cabrera listed as preparer not necessarily owner — ask for owner on first call; verify payroll is direct processing",HIGH — D&B + FindTaxExperts + Buzzfile confirmed
9,★★★★☆,Track 1 - Grid/Buyout,C.A. McCrae CPA LLC,C.A. McCrae CPA LLC,"Carol A. McCrae, CPA",(718) 399-9800,Via website (BE NYC / Brownstoner listings),Not standalone — listed on BE NYC Shop Black,"196 Flatbush Ave 2nd Floor, Brooklyn NY 11217",11217,2007,2-5,Accounting / financial statements / tax prep / bookkeeping / payroll services / back-office management,YES - explicit,"Small-to-medium businesses, nonprofits, government entities; MWBE certified (State and City of NY); opened before Barclays Center; supports Black businesses on Flatbush Ave",Unknown — independent,African American / Caribbean-adjacent (MWBE certified; National Association of Black Accountants member; Flatbush Ave location = adjacent to major Caribbean business corridor; opened 2007 before Barclays = 17+ years community anchor),YES,LinkedIn: Carol McCrae CPA; LinkedIn company page; Clutch profile; NY Amsterdam News feature,"M/WBE certified, 17-year independent, Flatbush Ave anchor; no corporate payroll vendor affiliation; National Association of Black Accountants member","Carol — you've been anchoring Black businesses on Flatbush Ave since before Barclays opened. That's nearly 20 years of community trust. I'm with ADP and we're looking to partner with firms like yours that are actively supporting minority-owned businesses with payroll — there's a real revenue opportunity here.",Phone (718) 399-9800,"MWBE-certified firms often prefer community-oriented pitch over corporate pitch — lead with how ADP supports minority business clients; NY Amsterdam News feature = media-savvy, may respond to LinkedIn outreach",HIGH — BE NYC + Amsterdam News + Clutch + Brownstoner confirmed
10,★★★★☆,Track 1 - Grid/Buyout,Alex I Enterprises LLC,Alex I. Enterprises LLC,Alexander (Alex) Lewis,Via Yelp/Manta listings,Via Facebook: AlexEnterprises,alewistax.com (per Trustindex),"161 E 49th St, Brooklyn NY 11203 (East Flatbush / Little Caribbean)",11203,2000,2-5,Tax prep (individuals/self-employed/corporations) / small business accounting / payroll & HR services / sales tax / business formation / IRS Acceptance Agent (immigrant services) / notary,YES - payroll & HR services explicitly listed,"Immigrants (non-immigrant ID services), small businesses in East Flatbush; IRS Acceptance Agent for ITIN = heavily immigrant clientele",Unknown — independent,Caribbean (Alex Lewis — East Flatbush/Little Caribbean ZIP 11203; IRS Acceptance Agent for ITIN = serving immigrants; payroll + HR services = community-embedded; former senior investment accountant who went independent = career transition to serve community),YES — Manta + Yelp,Facebook: AlexEnterprises; Manta; Yelp,Independent since 2000; former senior investment accountant; no corporate affiliation; IRS Acceptance Agent niche is highly community-specific,"Alex — you've been serving immigrant small businesses in East Flatbush for 25 years. I'm with ADP and your location on E 49th St is right in our target community. ADP has Spanish-language and multilingual payroll support that would resonate with your ITIN clients.",Facebook or phone via Yelp/Manta listing,"Phone not confirmed publicly — check Yelp/Manta for current number; Facebook may be primary outreach channel; confirm payroll is direct processing vs. referral",MEDIUM — Yelp + Manta + Trustindex confirmed; phone unverified
