Priority Rank,Tier,Firm Name,Phone,Address,ZIP,Website,Google Rating,Yelp Active,Payroll Confirmed,Payroll Software Detected,Social Media,Firm Size Signal,Years in Business,Why Never Referred (Best Guess),Best Opening Line,Best Contact Method,ADP Opportunity Score,Notes
1,TIER 1,SL Tax Center / The Holtz Group,Find on theholtzgroup.com,"81 Fleet Place / 170 Myrtle Ave / 318A Utica Ave, Brooklyn",11201,theholtzgroup.com,Not confirmed,YES (Steven Louis Income Tax Centers),YES - explicit (tax + bookkeeping + payroll listed),Not specified,Facebook: @sltaxcentersnyc | LinkedIn: SL Tax Centers / The Holtz Group,Multi-location — 4+ offices,Since 1970 (55+ years),Likely in program but no one has made the value proposition clear — or they already use another payroll vendor and no one asked,"I noticed The Holtz Group has been around since 1970 and has multiple Brooklyn locations — with a client base that size, I'd love to show you what the top firms in Brooklyn are earning on their payroll book.",Phone call then walk-in,HIGH,One of Brooklyn's oldest tax firms; CRM has no phone — get it from theholtzgroup.com; Facebook active
2,TIER 1,Fasten Halberstam LLP (Efroim Fasten),718-258-6346 (personal),"40 Wall St Suite 3602, New York NY / 1239 E 31st St Brooklyn (personal)",11210,fhllp.com + fasten.cpa,Not confirmed,Not found,Not explicitly listed but large diverse client base,Not specified,LinkedIn: Efroim Fasten CPA (active poster),Medium firm — LLP with multiple partners,Established (BDO Alliance member),This is a serious firm — likely wasn't properly pitched at the right level; CRM has personal home address not firm address,"I came across Fasten Halberstam's Forbes recognition for 2023 — for a firm of your caliber serving real estate and manufacturing clients, the ADP referral program works at a completely different scale than what most firms are using.",LinkedIn DM (Efroim is active) then phone,HIGH,BDO Alliance member; Forbes/Inc. Best Tax Firms 2023; Real firm at 40 Wall St — CRM address is his home in Brooklyn; update CRM with 40 Wall St address
3,TIER 1,M Kohn & Co / Moses Kohn CPA,"(347) 288-2139 (CRM) / 718-840-3444 (firm)","221 Hewes St, Brooklyn NY",11211,mkohncpa.com,Not confirmed,Not found,Not explicitly listed (does bookkeeping + financial statements for nonprofits/schools/RE),Not specified,LinkedIn: Moshe Kohn CPA + M.Kohn&Co company page,Growing firm — Inc. Regionals 2026 Northeast honoree,Founded 2012 (14 years),Named on Inc. Regionals 2026 — this firm is growing fast and probably hasn't been approached at the right growth stage until now,"I just saw M Kohn & Co on Inc. Regionals 2026 for the Northeast — congratulations. When firms grow that fast, payroll usually becomes the biggest operational headache for their clients. I'd love 10 minutes to show you what we're doing with similar-sized Brooklyn firms.",LinkedIn DM (active) then phone,HIGH,Inc. Regionals 2026 honoree — use this as your opener; serves nonprofits/schools/real estate/healthcare; phone discrepancy — use 718-840-3444
4,TIER 1,AMS Tax and Credit Solutions,(718) 387-0288,"110 Graham Ave, Brooklyn NY",11206,amstaxandcredit.com,Not confirmed,YES (March 2026),YES - explicit (bookkeeping + payroll + business formation listed on site),Not specified,LinkedIn: AMS Tax and Credit Solutions company page,Small firm — Aneudys Mejia EA; founded 2015,Founded 2015 (11 years),Never been approached compellingly — or was pitched early (2015) before they had enough payroll clients to make it worthwhile; now they likely do,"I saw your website — you offer payroll right alongside tax and bookkeeping. A few other Williamsburg-area firms similar to yours are earning steady monthly income on their payroll clients through our program. Worth a 10-minute call?",Phone call,HIGH,BBB A+ rated; previously H&R Block preparer; also does credit repair + notary; active Mon-Sun; Graham Ave = Williamsburg/East Williamsburg
5,TIER 1,Shay CPA,347-292-7515,"1216 Broadway Fl 2, New York NY",10001,shaycpa.com,"5 stars, 26+ reviews",Not found,YES - explicit (payroll management listed); clients use Gusto,Gusto (official partner) + QuickBooks Online,Instagram: @shaycpapc (active); LinkedIn: SHAY CPA P.C.,Small boutique — 2-5 employees; startup/tech niche,Founded ~2018,They already use Gusto — no one showed them the income differential. Gusto pays ~20% referral vs. ADP's program; also they may not realize their startup clients will outgrow Gusto,"You're already processing payroll for your clients — I noticed you're a Gusto partner. I work with a few NYC startup-focused CPAs who switched to our referral program and are earning 3-4x what Gusto was paying them. Would a quick comparison call make sense?",Phone call or Instagram DM,MEDIUM-HIGH,Already using Gusto — lead with income comparison; startup/VC niche (SaaS/AI/fintech/biotech); address is Manhattan but serves NYC broadly
6,TIER 2,Joel Handler CPA,718-682-3620 (directories — not in CRM),"177 Clymer St, Brooklyn NY / 36 Taaffe Pl Brooklyn NY",11211,joelhandlercpa.net,Not confirmed,Not found,Not explicitly confirmed — but has QuickBooks Services page,QuickBooks (ProAdvisor),Facebook: JoelHandlerCPA; LinkedIn: two profiles,Solo or small — Williamsburg area,Active CPA practice,No phone in CRM — likely never properly reached; QuickBooks focus means clients use QB Payroll which is in transition,"I found your site through a search for Brooklyn CPAs — I see you specialize in QuickBooks services. With the QuickBooks Desktop payroll changes in 2024, a lot of your clients may be looking at alternatives. I'd love to show you what ADP is doing for firms like yours.",Phone call (get number from site first),MEDIUM,CRM has no phone — get 718-682-3620 from directories; two LinkedIn profiles suggest possible career shift; address discrepancy between CRM and directories — verify
7,TIER 2,Aryeh Victor CPA,718-998-0024 (found in directories — not in CRM),"1137 East 13th St, Brooklyn NY",11230,Listed on CPAdirectory + PTIN directory only,Not found,Not found,Not confirmed — offers tax prep + bookkeeping + accounting,Not specified,LinkedIn: linkedin.com/in/aryeh-victor-8b1b858/,Solo CPA — serves nonprofits primarily in NY/CT/NJ,Licensed CPA (NY license #77550),No phone or website in CRM — likely was added without proper profiling; probably never got a real pitch,"I found your profile on the CPA directory — I work with a few solo CPAs in Flatbush/Midwood who have nonprofit clients and have been adding meaningful income through our accountant referral program. Would it be worth a quick call?",LinkedIn DM (has profile),MEDIUM,Phone not in CRM — found 718-998-0024 in directories; on NYC Comptroller pre-qualified auditor list; nonprofit niche
8,TIER 2,SAS Accounting and Management,(718) 629-5043,"291 Buffalo Ave, Brooklyn NY / 4523 Clarendon Rd Brooklyn",11213,Not found,Not found,Not found,Not confirmed — tax prep + bookkeeping (payroll not explicit),Not specified,Not found,Solo — Shawn A. Scotland; founded 2007,Founded 2007 (19 years),Two addresses in public records (possible relocation); low web footprint — may have been hard to reach consistently,"I'm calling because I work with a few accounting firms on Buffalo Avenue and the Church Ave corridor — I wanted to introduce a program that's been generating extra monthly income for firms doing bookkeeping and tax in that area. Do you have 5 minutes?",Phone call,LOW-MEDIUM,Two addresses suggest relocation; no web presence; 19-year-old practice suggests established client base worth pursuing
9,TIER 2,Khyber Tax and Accounting / KBN,(718) 859-3999,"669 Coney Island Ave, Brooklyn NY",11218,Not found (operates as KBN Tax & Accounting),Not found,Not found (Yahoo Local listing),Not confirmed — tax prep + bookkeeping,Not specified,LinkedIn: Farhat Humayun (staff member),Solo/micro — Taj Akbar IRS registered preparer,Unknown,Listed as "Khyber" in CRM but operates as "KBN" — name mismatch may mean no one has actually reached the right person,"Hi, I'm looking for the owner of KBN Tax on Coney Island Ave — I work with a few accounting firms in the Flatbush area on a referral program and wanted to introduce myself.",Phone call (walk-in may be more effective),LOW,CRM name doesn't match actual business name (Khyber vs KBN); also a Khyber Associates Inc (general contractor) at same address — confirm you're reaching the tax firm
10,TIER 3,Smart Solutions Consulting,718-986-3385,"5914 Glenwood Rd, Brooklyn NY / 2174 Nostrand Ave / 1559 Ralph Ave",11234,smartsolutionsconsultants.com (Nextdoor),Not found,"Not confirmed (Smart Solutions & Services on Yelp — may be different entity)",Not confirmed — described as holistic business consulting,Not specified,Facebook: @smartsolutionconsulting,Small,Unknown,Multiple conflicting addresses; BBB no rating; inconsistent data — likely a consulting broker not an accounting firm,Verify this is actually an accounting/CPA firm before calling.,Phone call to verify first,LOW,BBB unrated; multiple conflicting addresses; may be a general business consulting firm not an accounting/tax firm — qualify first
11,TIER 3,D&D Tax Services,"718-398-3580 (CRM) / 917-294-2268 (other)","1049 Fulton St, Brooklyn NY",11238,Square booking page only,Not found,YES,Not confirmed — Donna M. Rucker; tax prep + bookkeeping,Not specified,Not found,Solo — Donna M. Rucker IRS registered preparer,Active PTIN registration,Solo preparer — likely small enough that payroll referrals are minimal; never pitched properly,"Hi, is this Donna? I work with several solo tax preparers in Bed-Stuy who've added income through our accountant program — do you do any payroll work for your business clients?",Phone call,LOW,Phone discrepancy in CRM; solo preparer; Fulton St = Bed-Stuy
12,TIER 3,A & S Accounting Services Inc,Not in CRM,"480 Lefferts Ave, Brooklyn NY",11225,Possible: aasaccountingny.com (unconfirmed),Not confirmed,"Possible Yelp listing as AAS Accounting (3820 Nostrand Ave — different address)",Possible — AAS Accounting lists payroll if same entity,Not specified,Not found,Unknown — identity unconfirmed,Unknown,CRM name (A&S) may not match actual business name (AAS) — may never have been reached at right contact,Verify business identity and address before calling — CRM entry may be outdated or misidentified.,Phone (no number — need to find first),LOW,No phone in CRM; address doesn't match possible website match; verify identity first
13,TIER 3,Eliezer Klein CPA,Not in CRM,"1813 59th St, Brooklyn NY",11204,Not found,Not found,Not found,Not confirmed,Not specified,Not found,Solo CPA implied — Borough Park (Orthodox Jewish community),Unknown,No phone in CRM; residential address in Borough Park — likely a solo practitioner who was added without proper contact details,"Find the phone number first (try NY State CPA license lookup at aca.dos.ny.gov/aca) — then cold call as a neighbor: 'I work with a few CPAs in Borough Park on a referral program...'",Phone (need to find number first — try CPA license lookup),LOW,No phone in CRM; Borough Park Orthodox community — warm intro through community contact would be more effective than cold call
14,TIER 3,Eduard Epelbaum / EMD Tax Service Inc,718-676-0830 (found in directories),"1723 E 12th St 3rd Fl, Brooklyn NY",11229,Not found (EMD Tax Service Inc),Not found,Not found,Not confirmed — tax preparation only,Not specified,LinkedIn: Eduard Epelbaum president at EMD Tax Service Inc,Solo practitioner — 1 employee,Unknown,Solo tax preparer — may not process payroll for clients at all,Verify whether he does payroll before spending time here.,Phone call to qualify,LOW,Phone not in CRM; received PPP loan (public data); solo practitioner
15,TIER 3,Brooklyn Tax Preparer Andy Endale,Not in CRM,"580 Flatbush Ave, Brooklyn NY",11225,Not found,Not found,Not found,Not confirmed,Not specified,Not found,Solo individual — listed by personal name not business entity,Unknown,Listed as individual person name (not a business entity) — likely a solo seasonal preparer; minimal payroll activity,Deprioritize — no phone in CRM; no web presence; individual preparer likely has minimal payroll book.,Walk-in to 580 Flatbush Ave to verify if still active,VERY LOW,No phone; no web presence; Flatbush Ave address — could walk in but low expected yield
16,TIER 3,Edmar Tax & Business Service,(516) 867-4800,"114 Maple Dr, Roosevelt NY",11575,Not found,Not found,Not found,Not confirmed — tax prep + accounting + bookkeeping,Not specified,Nextdoor listing only,Solo implied,Unknown,Outside your territory (Roosevelt is Nassau County Long Island) — likely added by mistake or serves some NYC clients remotely,Only worth calling if you serve Nassau County clients — otherwise deprioritize.,Phone call if territory allows,LOW,Roosevelt NY is Nassau County Long Island — outside Brooklyn territory; deprioritize unless you cover Nassau County
