n,owner,status,payroll_section,client,ein,address,city_state_zip,ees,freq,runs_per_yr,fee_per_run,annual_run_rate,401k,401k_fees,other_cy_fees,setup_with,contact_name,contact_email,contact_phone,bank_proof,agreement,state_reg,prior_wages,last_pchx_check,first_adp_check,k401,blocker,notes
1,Robert Shaul,Existing,Existing,Wisdom by Woods LLC,93-3723791,5320 Blue Reed Lane,"Lake Worth, FL 33467",1,Monthly,12,129.78,1557.36,,0,200,ask,,,,none,none,,none,,tbd,n/a,,"VERIFIED 2 payroll invoices (6/24, 7/29): Flex Select 137.85 + Delivery 19.50 - disc 27.57 = 129.78. Delivery recurs 2/2. $200 setup one-time (June). 8/27 invoice had NO payroll, only $50 Missing State ID fee -> may not run 12x."
2,Robert Tupe,Existing,Existing,Upstate Logistics Group LLC,33-4154077,2107 Goldfinch Blvd,"Princeton, NJ 08540",3,Biweekly,26,78.57,2042.82,,,200,ask,,,,none,none,,none,,tbd,n/a,,"$0.91 401k fee on Paychex — confirm whether a real plan | Stephen 9/22: access granted 9/21, reports show ""not available yet"" in Partner Pro, expects invoice 9/22. | Stephen 9/22: NO 401(k). The $0.91 fee was not a plan."
3,Hani Amiri Manesh,Existing,Existing,Auction Time Pieces,42-2190303,24324 Walnut Steeer Suite B,"Newhall, CA 91321",2,Semi Monthly,24,154.10,3698.40,,0,100,ask,,,,none,none,,none,,tbd,n/a,,"Flex Select 79.10 matches sheet. BUT 8/27 invoice = 'Minimum Monthly Billing' 65.00 only -> NO PAYROLL RAN that period. July invoice had $200 setup + $75 DD Premium Processing + a -178.96 discount sized to absorb the setup; recurrence of the $75 and of any standing discount is UNKNOWN from one payroll invoice. | Eli 9/21: Direct Deposit Premium Processing $75 is ALWAYS charged per run -> recurring = 79.10 + 75.00 = 154.10 x 24 = 3,698.40 (+$1,800 vs sheet)."
4,Ty Tyree,Existing,Existing,Tyree Advisory Group LLC,42-1951214,106 W Dorothys Way,"Lincoln University, PA 19352",1,Monthly,12,71.92,863.04,,0,200,ask,,,,none,none,,none,,tbd,n/a,,"Stephen 9/22: access granted 9/21, reports pending, expects invoice 9/22."
5,Robert Watson,Existing,Existing,Onchain Strategies LLC,33-3282413,655 Pyrite Will St,"Las Vegas, NV 89138",1,Monthly,12,101.00,1212.00,Yes,3505.08,0,ask,,,,none,none,,none,,tbd,convert,,"HRS stmts 8/4+9/1: $25 3(16) + $150 recordkeeping + $6×1 participant + $111.09/mo SETUP installment ($3,999 over 36 mo) = $292.09/mo ACH; +69–71 bps annual acct fee from assets ($449–456 plan). Paychex client 0026-70328578. | RATE GAP (may be stale, not an error): sheet says 58.00, invoice 5/27 shows Officer Only Payroll 65.00 = +$84/yr. Delivery 36.00 NOT constant (prior invoice 4/30 totalled 85.00; 65+36=101>85). New Hire/Change Transmission 3.50 event-driven. | Alt reading: prior invoice 4/30 total 85.00 - 58.00 = 27.00 clean, so 58 may have been correct in April and risen to 65 in May. Need a current Onchain invoice. | SETUP BALANCE CORRECTED 3887.91: $3,999 setup, PAYMENT RECEIVED $111.09 as of 9/1 stmt -> $3,887.91 outstanding (earlier note said $3,776.82, wrong). | Per Eli: Delivery $36 is recurring, so per-run = 65.00 + 36.00 = 101.00."
6,Ricardo De'Carvalho,Existing,Existing,RJC Holdings,86-2385686,6278 North Federal Highway,"Fort Lauderdale, FL 33308",1,Monthly,12,58,696,,0,0,ask,,,,none,none,,none,,tbd,n/a,Paychex cannot link Partner Pro access,"Stephen 9/22: was on ADP >1 yr ago, Stephen moved them to Paychex. Paychex unable to link his Partner Pro to this client after several tries. No invoice. PRIOR ADP CLIENT — check win-back rules."
7,Dave Truscello,Existing,Existing,Backfin Logistics LLC,33-4371485,7921 SPRINGWAY RD,"Towson, MD 21204",3,Semi Monthly,24,98.50,2364.00,,0,0,ask,,,,none,none,,none,,tbd,n/a,,"3 EE — ACA trap on >2% health reimbursement; year-end S-corp health entry before final Dec payroll | VERIFIED 3 invoices (8/12, 8/26, 9/11) + 7/28 referenced: Flex Select 95.50 (5 txn) + Taxpay Locals 3.00 = 98.50 every time. Check dates 8/14, 8/31, 9/15 = SEMI-MONTHLY confirmed. $50 Missing LOCAL ID fee on 8/12 only, gone after = one-time, cured."
8,Niccolo Russino,Existing,Existing,Walters Mirrors Inc,33-3877704,"1625 Cody, Ave","Ridgewood, NY 11385-5733",3,Biweekly,26,502.15,13055.90,Yes,2316.00,200,ask,Niccolo Russino (trustee),,(718) 366-0777,none,none,,none,09/30/26 (next report 9/28),tbd,convert,,"INVOICES 9/18: HR Pro $502.15/payroll ($896.70 list, -$394.55 discount), bi-weekly = $13,055.90/yr. Sheet had $95.30 semi-mo = WRONG. 401k fee not on payroll invoice; may be bundled (Retirement Services Included) — ask Stephen for 408(b)(2). 3 EE, Chase, fed semi-weekly depositor, NY PFL/DBL not remitted by Paychex. | Q2 retirement report: plan #651186 NEW (eligibility 5/6/26, $0 at 4/1), $3,553.92 at 6/30, 3/3 participating, no ER contributions through 6/30 (match starts Q3, 3% of gross). Trust stmt: admin/annual account fees ""paid from your bank account, refer to your Invoice"" — NOT on payroll invoices seen. Check for early-termination fee on a 4-month-old plan. | CONFIRMED HRS stmts 7/5, 8/5, 9/1: $150 recordkeeping + $18 (3 participants) + $25 3(16) = $193/mo ACH from 759; setup $83.31/mo on $2,999 (36 mo) in Jul+Aug (paid $249.93 thru Aug) — setup line ABSENT in Sept, unexplained; annual acct fee 70 bps on ~$5.8K. Payroll $13,056 + 401k $2,316 + setup ~$1,000 = ~$16.4K/yr for 3 EE. | HEADCOUNT: sheet said 5 EE, invoices say qty 3 and payroll package lists 3 (Jimenez-Sosa, Rosario, Russino). Corrected to 3. HR Pro is billed PER ACTIVE EMPLOYEE at 298.90 gross, so headcount changes move the bill. | SETUP BALANCE CORRECTED 2749.07: $2,999 setup, PAYMENT RECEIVED $249.93 as of 8/5 stmt -> $2,749.07 outstanding (earlier note said $2,665.76, wrong: counted installments billed not received)."
9,Spencer Thwaytes,Existing,Existing,Spencer Thwaytes & Co LLC,93-1357097,1524 Bayview Drive,"Fort Lauderdale, FL 33304",3,Monthly,12,77,924,Yes,3433.08,100,ask,,,,none,none,,none,,tbd,convert,FL RT-6 notice due Fri 9/25,"HRS stmt 9/1: $25 3(16) + $150 recordkeeping = $175 (no participant fee billed) + $111.09/mo SETUP installment ($3,999/36, first payment) from 2nd bank acct = $286.09/mo. Paychex client 0919-70351460. | Aug 8/5 stmt identical to Sept; setup ""PAYMENT RECEIVED $0.00"" on BOTH → Aug installment from acct 172 not collected. Check for failed ACH. | SETUP BALANCE CORRECTED 3999.00: $3,999 setup, PAYMENT RECEIVED $0.00 on both 8/4 and 9/1 stmts -> full $3,999.00 outstanding."
10,Heather Kranz,Existing,Existing,Kranz Motorcars LLC,39-2155930,432 S Walnut St,"Kennett Square, PA 19348",1,Weekly,52,59.5,3094,,0,100,ask,,,,none,none,,none,,tbd,n/a,Stephen needs client to grant Paychex Pro access; reminder sent 9/21,Stephen 9/22: client must grant access; reminder emailed 9/21. No invoice yet.
11,Oliver Beirne,Existing-NeverRan,"New (on Paychex, never ran)",B333 Trading Group LLC,42-2175878,980 N Federal Hwy Suite 314,Boca Raton FL 33432,2,Monthly,12,77,924,Yes,,,ask,,,,none,none,,none,,tbd,new,NEVER RAN PAYROLL on Paychex,Stephen 9/22: set up in Paychex but never ran a payroll. Will move straight to ADP without running one. No Paychex revenue history -> Grid eligibility to confirm.
12,Anthony Gerb,New,New,AJG Trading LLC,41-5035542,1881 N Nash Street Apt No 705,"Arlington, VA 22209",1,Monthly,12,70,840,Yes,,,ask,,,,none,none,,none,n/a,tbd,new,need owner name/email/phone,
13,Richard Zamilpa,Gusto,Existing,Complete Merchant Services Consulting,99-4630525,6252 Isabel Cove Ave,Las Vegas NV 89139,2,Monthly,12,100.00,1200.00,Yes,,,ask,,,,none,none,,none,,tbd,new,need owner name/email/phone,"Stephen 9/22: NOT on Paychex — on GUSTO. 2 EE, $100/mo payroll only, no 401k. Client agreed to move to ADP. Not a Paychex conversion."
14,Frank Giordano,New/Gusto,Existing,"FRG Advisory, LLC",40-0020506,431 E 20th Street,New York NY 10010,1,Monthly,12,50.00,600.00,Yes,,,ask,,,,none,none,,none,n/a,tbd,new,need owner name/email/phone,"Gusto conversion — Grid eligibility unverified | Stephen 9/22: on Gusto, monthly, $50/mo. Sheet had $70; corrected to $50."
15,Alexander Harris,New,New,Kapstone Digital LLC,85-3782692,936 SW 1st Ave Apt. No. 406,"Miami, FL 33130",1,Monthly,12,70,840,Yes,,,ask,,,,none,none,,none,n/a,tbd,new,need owner name/email/phone,
16,Benjamin Solomon,New/IRS-direct,Existing,"Broadway 2000, Inc",85-3662838,662 Driggs Avenue,"Brooklyn, NY 11211",1,Yearly,1,400.00,400.00,Yes,,,ask,,,,none,none,,none,n/a,tbd,new,need owner name/email/phone,"1 payroll/yr $300 — confirm ADP pricing | Stephen 9/22: payroll done via IRS Treasury online (EFTPS), no provider. Cash payroll. Currently ~$400/yr. Will move to ADP, quarterly or annual runs. Last year prior-year payroll was over-inflated vs distributions — clean up on setup."
17,John Ewing,New,New,"Atlas Opera, Inc.",82-2302400,83 Canal Street,"New York, NY 10002",1,Monthly,12,70,840,,,,ask,,,,none,none,,none,n/a,tbd,n/a,,
18,Christina Pellicane,New,New,"North Star Works, LLC",42-4495054,121 S Colts Neck Way,"Hockessin, DE 19707",1,Monthly,12,50,600,Yes,,,ask,,,,none,none,,none,n/a,tbd,new,need owner name/email/phone,
