Priority Rank,ADP Opportunity Score,Track,Firm Name,Owner Name,Phone,Email,Website,Address,ZIP,Founded,Headcount,Services,Payroll Confirmed,Client Niche,Software Detected,Gusto Partner,Tech / AI Signals,Center of Influence Evidence,Non-ADP Signal,Best Opening Line,Best Contact Method,Risk Flags,Source Confidence
1,★★★★★,Track 2 - Revenue Share,Innovative Accounting Solutions LLC,"Irina Golub CPA + Yanina Karlinsky CPA",(718) 336-3100,Via innovativeaccountingsolutionsllc.com,innovativeaccountingsolutionsllc.com,"2388 Ocean Avenue Ground Floor, Brooklyn NY 11229",11229,2003,~18,Outsourced bookkeeping / payroll / tax prep / CFO services,YES - explicit,"Small businesses, startups",Gusto GOLD Partner — 106 active Gusto clients; partner since 2014,YES — GUSTO GOLD PARTNER (106 clients),Cloud-based tech-forward bookkeeping,106 active Gusto clients = largest single referral opportunity in Brooklyn; ongoing small business advisory relationships,Gusto Gold Partner — deeply embedded BUT that means they know exactly what Gusto pays them. ADP pays more. That's the entire pitch.,"You're a Gusto Gold Partner with 106 clients on it. ADP matches that price for every one of them — and pays you significantly more per referral than Gusto's partner program does. Most firms your size have never heard that. Worth 20 minutes?",Phone (718) 336-3100,"Larger than ideal headcount (~18) but the 106 Gusto client number makes this the #1 priority regardless; they are deeply Gusto-embedded so the pitch must be purely about what ADP pays THEM — not features; come with the specific revenue comparison ready",HIGH — Gusto Partner Directory confirmed + Brooklyn address confirmed
2,★★★★★,Track 2 - Revenue Share,Park Slope Taxes,"Kevin T. Kelly J.D. E.A.",(718) 638-3338,Via parkslopetaxes.com,parkslopetaxes.com,"100 8th Avenue, Brooklyn NY 11215 (Park Slope)",11215,Pre-2021,Solo / 2-person,Tax prep / business consulting / payroll,YES - listed on site,"Small businesses, individuals, Park Slope community",Gusto (confirmed Gusto Partner Directory),YES — CONFIRMED GUSTO PARTNER,Virtual tax firm branding — tech-forward solo practice,Gusto partner = actively recommending Gusto to clients; solo J.D. + E.A. = trusted advisor to multiple small businesses,Gusto partner — no ADP affiliation,"You're probably recommending Gusto to your clients. ADP matches that price — and pays you a lot more than Gusto does for every client you send our way. Most people in your position have never heard that.",Phone (718) 638-3338 or walk-in at 100 8th Ave,"Solo practice — one decision maker which is ideal; J.D. background means he'll want to understand the contract terms clearly; bring the revenue comparison numbers",HIGH — Gusto Partner Directory + Brooklyn address confirmed
3,★★★★★,Track 2 - Revenue Share,All United Accounting & Tax Inc,Julia Ibrahim CPA,(929) 260-1500,Via allunitedcpa.com,allunitedcpa.com,"8682 19th Ave, Brooklyn NY 11214",11214,2013,Solo / small,Payroll / accounting / tax; e-commerce specialist,YES - explicit,E-commerce businesses and small businesses,"Gusto (confirmed Gusto partner) + QuickBooks Advanced Certified ProAdvisor",YES — CONFIRMED GUSTO PARTNER,YouTube channel with accounting content; e-commerce focus = tech-forward; QBO Advanced certified,Gusto partner actively serving e-commerce small business clients; YouTube content = reaches broader small business audience; QBO Advanced = multiple active client relationships,Gusto partner + QuickBooks Advanced = deeply in the non-ADP ecosystem,"Julia — you're probably recommending Gusto to your e-commerce clients. ADP matches that price — and pays you a lot more than Gusto does for every client you send our way. Most people in your position have never heard that.",Phone (929) 260-1500,"Founded 2013 = established enough to have a real client book but modern enough to be open to change; YouTube presence means she responds well to clear explanations — come with a simple revenue comparison",HIGH — Gusto Partner Directory + Brooklyn address + QBO certification confirmed
4,★★★★★,Track 2 - Revenue Share,Payroll Help LLC,Michael Levin CPA,Via Yelp/website,Via website,Via Gusto partner profile,"1471 Royce St 3H, Brooklyn NY 11234",11234,2001,21-50,"Payroll management / QuickBooks Online & Desktop / bookkeeping / consulting / financial planning / auditing",YES - core business,"Medical field — healthcare and insurance practices",Gusto partner since 2019 — 29 active Gusto clients; QuickBooks Online and Desktop,YES — CONFIRMED GUSTO PARTNER (29 clients),Cloud-based QBO + QBD; medical niche tech stack,29 active Gusto clients in the medical niche = high-value small businesses (doctors offices pay more per employee); center of influence over healthcare small businesses,Gusto partner since 2019; no ADP mentions,"You're probably recommending Gusto to your medical practice clients. ADP matches that price — and pays you a lot more than Gusto does for every client you send our way. Most people in your position have never heard that.",Phone via Yelp or website,"Headcount (21-50) is larger than solo ideal but 29 Gusto medical clients is a very high-value book; medical practices have complex payroll (multiple provider types, benefits) — lead with ADP's healthcare payroll capabilities alongside the revenue comparison",HIGH — Gusto Partner Directory (29 clients) + Brooklyn address confirmed
5,★★★★☆,Track 2 - Revenue Share,Profitas LLC,"Jon Blumberg + Howard (co-founders)",Via profitasllc.com,Via website,profitasllc.com,"423 18th St (also 550 9th St), Brooklyn NY 11215 (Park Slope)",11215,2008,12 bookkeepers,Full-service bookkeeping / AR/AP / payroll / monthly close / budgets & forecasts,YES - explicit,"Broadway producers, record labels, filmmakers, law firms, real estate, nonprofits",Gusto (confirmed Gusto partner),YES — CONFIRMED GUSTO PARTNER,Cloud-based; creative industry niche = tech-forward clients,100+ ongoing clients in creative/entertainment industry = massive center of influence; Broadway/record label clients have complex payroll (union rules, irregular pay),Gusto partner; no ADP mentions,"You're probably recommending Gusto to your Broadway and creative industry clients. ADP matches that price — and pays you a lot more than Gusto does for every client you send our way. Most people in your position have never heard that.",Website contact form or visit 18th St Brooklyn office,"Creative/entertainment payroll has union complexities (SAG-AFTRA, IATSE, Actors Equity) — verify ADP can handle union payroll before this meeting; if yes, this is a massive opportunity",HIGH — Gusto Partner Directory + Brooklyn address + client niche confirmed
6,★★★★☆,Track 2 - Revenue Share,Find a Way,Not confirmed — research owner name first,Via Gusto partner profile,Via Gusto partner profile,Via Gusto partner profile,"68 34th Street Suite B524, Brooklyn NY 11232 (Industry City)",11232,Pre-2016,Small / solo,Turnkey accounting and HR solutions for hospitality clients,YES - implied (HR + accounting for hospitality),Hospitality industry — restaurants bars events,Gusto partner since 2016 — 4 active Gusto clients,YES — CONFIRMED GUSTO PARTNER,Tech-enabled HR/accounting for hospitality; Industry City location = tech-adjacent creative district,"Hospitality-specialized = every restaurant/bar client has payroll; Industry City location = cluster of food/beverage businesses nearby; being the go-to for hospitality payroll in Brooklyn is a niche with real volume",Gusto partner since 2016; no ADP mentions,"You're probably recommending Gusto to your restaurant clients. ADP matches that price — and pays you a lot more than Gusto does for every client you send our way. Most people in your position have never heard that.",Visit Industry City office or contact via Gusto partner profile,"Owner name unconfirmed — call first to identify decision maker; only 4 Gusto clients is small BUT hospitality niche means each client likely has 10-30+ employees; ADP's tip credit and tipped employee payroll features are a real differentiator here",MEDIUM — Gusto Partner Directory + Brooklyn address confirmed; owner unverified
7,★★★★☆,Track 1+2,Empire Tax Professionals,Rachel Michaelov EA,Via empiretaxusa.com,r***@empiretaxusa.com (ZoomInfo partial),empiretaxusa.com,"162 Withers St, Brooklyn NY 11211 (Williamsburg)",11211,2005,Small team,Tax planning / bookkeeping / payroll preparation / sales tax filing / entity formation,YES - explicit,"Dentists, private practice doctors, service businesses, e-commerce sellers, content creators",Certified QuickBooks ProAdvisor — payroll via QuickBooks,NO — QuickBooks only,Content marketing to e-commerce/creators; modern digital presence; virtual CFO service,"Medical and dental practice clients = high-value payroll relationships; content creator/e-commerce niche = growing businesses with increasing payroll needs; Brooklyn Heights virtual CFO service = trusted ongoing advisor",QuickBooks ProAdvisor; no ADP mentions,"You're probably recommending QuickBooks Payroll to your dental and medical clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Website or email (confirm via ZoomInfo),"Founded 2005 = established practice but Williamsburg location signals openness to modern approaches; dental/medical practices are ADP's sweet spot — come with healthcare-specific examples",HIGH — Brooklyn address + payroll page + QuickBooks ProAdvisor confirmed
8,★★★★☆,Track 1+2,AGY Associates LLC,"Nana Agyekum CPA (Managing Partner)",(866) 357-0209,nagyekum@agyassociates.com,agyassociates.com,"157 13th Street, Brooklyn NY 11215",11215,Est. 2010s,Solo / small boutique,"Small business accounting / payroll / part-time CFO / QuickBooks setup / personal financial planning",YES - explicit,"Small businesses, minority-owned businesses",QuickBooks (explicit QuickBooks tune-up service page),NO — QuickBooks only,Part-time CFO services; QuickBooks-certified; 20+ years Big 4 background,Minority-owned boutique = embedded community advisor; part-time CFO to multiple businesses = ongoing trusted relationships; Big 4 background = credibility with sophisticated clients,No ADP mentions; QuickBooks-centric,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Email nagyekum@agyassociates.com or phone (866) 357-0209,"Big 4 background means she'll evaluate rigorously — come prepared with data; minority-owned focus is a differentiator worth acknowledging; 20+ years experience means she's heard a lot of pitches — keep it short and money-focused",HIGH — Brooklyn address + payroll services + email confirmed
9,★★★★☆,Track 1+2,Supporting Strategies Brooklyn & Staten Island,Jane Lvovskiy CPA MBA,Via supportingstrategies.com,j***@supportingstrategies.com,supportingstrategies.com/locations/brooklyn-staten-island/,"Brooklyn NY (franchise — virtual/mobile operation)",11201,2017,Small team (franchise),Bookkeeping / payroll / HR administration / monthly close / FP&A,YES - explicit,"Law firms, tech, wholesale, retail, manufacturing, nonprofits, restaurants",Cloud-based bookkeeping platforms; standardized tech stack,NO — franchise system,Fully cloud-based franchise system; standardized processes = tech-forward; Brooklyn Stars Under 40 award winner,Brooklyn Stars Under 40 = well-networked in Brooklyn business community; franchise serving diverse industries = broad center of influence; HR administration = deeply embedded in client operations,No ADP mentions,"You're probably recommending Gusto or QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than either of them does for every client you send our way. Most people in your position have never heard that.",LinkedIn (Jane Lvovskiy) — she's active,"Franchise model may have tech stack restrictions from Supporting Strategies corporate — confirm she has flexibility to recommend payroll vendors; if yes, this is a strong opportunity given her broad Brooklyn network",HIGH — Brooklyn confirmed + CPA + payroll services + LinkedIn confirmed
10,★★★★☆,Track 1+2,A. Kahan CPA PC,Abraham Kahan CPA,(718) 887-9112,Via kahancpa.com,kahancpa.com,"266 Broadway Ste 502, Brooklyn NY 11211 (Williamsburg)",11211,Not confirmed,Solo / small,Payroll management (dedicated page) / audits / tax prep / IRS representation / business accounting,YES - dedicated payroll management page,"Individuals and small businesses",QuickBooks likely — no Gusto confirmed,NO,Modern website with dedicated service pages; Williamsburg location = tech-adjacent,"Full-service CPA with dedicated payroll page = active payroll recommender to clients; Williamsburg location = serves growing tech-forward small businesses",No ADP mentions,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Phone (718) 887-9112,"Dedicated payroll management page is a strong buying signal — he's invested in promoting this service; Williamsburg CPAs serve a lot of new business formations which is ideal for ADP onboarding",HIGH — Brooklyn address + dedicated payroll page + owner LinkedIn confirmed
11,★★★★☆,Track 1+2,Exceptional Tax & Accounting Services LLC,"Eldar Rakhamimov EA CAA",(718) 285-9533,Via exctaxservices.com,exctaxservices.com,"1825 Coney Island Ave FL 1, Brooklyn NY 11230",11230,November 2020,Small team,Tax prep / bookkeeping / payroll (explicit page) / business consulting,YES - dedicated payroll page,"Business owners, executives, independents in Brooklyn",No specific software confirmed; independent,NO,Clutch.co listed; online presence; 2020 founded = modern practice,"Founded 2020 = very new, very open to building the right partnerships from the start; full-service accounting + consulting = trusted by multiple business owners; Coney Island Ave location serves diverse Brooklyn community",No ADP mentions — founded during COVID = built entirely on modern tools,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Phone (718) 285-9533,"Founded November 2020 = ideal target; new enough to have no legacy vendor relationships locked in; still building their tech stack and partner relationships; this is exactly the firm that ADP should be getting in front of NOW before Gusto does",HIGH — Brooklyn address + founded 2020 + payroll page + owner LinkedIn confirmed
12,★★★★☆,Track 1+2,Mei CPA PC,"Paul Han Mei CPA + Glenn Ambinder CPA",(718) 975-3363,Via meicpa.com/contact/,meicpa.com,"1714 86th St FL 2, Brooklyn NY 11214",11214,2007,Small (2 CPAs + support),Payroll & sales tax (dedicated page) / bookkeeping / QuickBooks support / accounting / incorporations,YES - dedicated payroll & sales tax page,"Small businesses; Chinese-American community and broader Brooklyn",QuickBooks (all versions — setup and management); bilingual English/Chinese,NO — QuickBooks only,Bilingual (English/Chinese) website = community reach; QuickBooks all versions certified,"NYSSCPA members; bilingual service = center of influence in Brooklyn's Chinese-American small business community (Sunset Park / 86th St area); nearly 20 years = deeply embedded",No ADP mentions; QuickBooks-centric,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Phone (718) 975-3363,"Bilingual practice = the Chinese-American small business corridor on 8th Ave/86th St is a significant payroll market that ADP may not be reaching; come with bilingual ADP support materials if available",HIGH — Brooklyn address + dedicated payroll page + two named CPAs confirmed
13,★★★☆☆,Track 1+2,Batista & Associates Corp,Alicia Batista,"(347) 526-2554 / (718) 492-0002",alicia@batistaassociates.com,batistaassociates.com,"407 61st St, Brooklyn NY 11220 (Sunset Park)",11220,Est. late 1990s / early 2000s,Solo / small,Bookkeeping / payroll / tax preparation / financial forecasting / company formation,YES - explicit,Small businesses in Sunset Park/Bay Ridge community,QuickBooks proficient (stated on site),NO — QuickBooks only,Online booking/appointment scheduling; company formation services = embedded early in client lifecycle,"Company formation services = gets into client relationships at Day 1 when payroll is first being set up; Sunset Park Latino business community = large underserved payroll market; 25+ years = deeply trusted in community",No ADP mentions,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Email alicia@batistaassociates.com or phone (347) 526-2554,"Company formation service is the key insight — she's in the room when payroll is first being set up; that's the best time to introduce ADP; ask about how she currently handles payroll setup for new business clients",HIGH — Brooklyn address + payroll explicit + email confirmed
14,★★★☆☆,Track 2,Tekio Advisors LLC,"Melissa Gravino (key contact; CPA-founded)",(718) 569-0514,Via tekioadvisorsllc.com,tekioadvisorsllc.com,"260 Ainslie Street, Brooklyn NY",11211,Est. 2018,2-5,Outsourced accounting / fractional CFO / controller services / FP&A,Implied — fractional CFO model,Startups and small to mid-sized businesses,QuickBooks likely (standard for Brooklyn boutique firms),NO,Fractional CFO / FP&A focus = tech-forward; fully outsourced model,"Fractional CFO/controller = ongoing trusted advisor to multiple small businesses; startups = high growth clients who will need payroll as they hire; Williamsburg/Bushwick location = tech startup cluster",No ADP mentions,"You're probably recommending QuickBooks Payroll to your startup clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Phone (718) 569-0514,"Fractional CFO model = they advise but may not process directly; clarify if they set up payroll for clients or just advise; owner name confirmation needed — call first",MEDIUM — Brooklyn address + fractional CFO services confirmed; owner fully unverified
15,★★★☆☆,Track 1+2,Sylco Consulting Inc,Marlaine J. Sylvain,(718) 703-3212,Via sylcoconsulting.com,sylcoconsulting.com,"2141 Cortelyou Road, Brooklyn NY (Flatbush)",11226,Est. 2010s,Solo / small family firm,Tax prep / tax planning / business advisory / payroll,YES - listed,"Small businesses, real estate investors, entrepreneurs",QuickBooks (listed on website),NO — QuickBooks only,Virtual services available all 50 states; Cortelyou Rd = Flatbush community hub,"Family-firm advisor model = deep trust relationships with multiple small business clients; Flatbush location = Haitian/Caribbean community hub; real estate investor clients = complex payroll needs",No ADP mentions,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Phone (718) 703-3212,"Cortelyou Rd in Flatbush = strong Caribbean community anchor; Haitian/Caribbean business owners are underserved by major payroll vendors; if Marlaine has Caribbean community connections this is a high-multiplier relationship",HIGH — Brooklyn address + owner confirmed + payroll listed
16,★★★☆☆,Track 1+2,Braver Bookkeeping LLC,Aron Braver,Via braverbookkeeping.com,Via braverbookkeeping.com,braverbookkeeping.com,"605 Marcy Ave Apt 2, Brooklyn NY 11206",11206,October 2022,Solo,Bookkeeping / payroll / QuickBooks setup and management,YES - explicit,"Small businesses local and nationwide",QuickBooks Online Advanced ProAdvisor — payroll offered,NO — QuickBooks only,QuickBooks Online-only practice; Alignable presence; fully cloud-based; LinkedIn active,"Solo practitioner serving multiple small business clients; founded October 2022 = very new, no legacy commitments; Brooklyn-branded = local trust",No ADP mentions; QuickBooks-centric,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",LinkedIn message (Aron Braver) or website contact,"Founded October 2022 = newest firm on this list; client book is still small but growing; this is a relationship to build NOW before Gusto gets to him — he's at the exact moment where partner decisions get made",HIGH — Brooklyn address + solo + QBO ProAdvisor + founded 2022 confirmed
17,★★★☆☆,Track 1+2,Nasir Faizi CPA PLLC,Nasir Faizi CPA,Via website (check Yelp for direct number),Via nasirfaizicpa.com,nasirfaizicpa.com,"941 Coney Island Ave Suite 5, Brooklyn NY 11230",11230,Est. 2004,Solo / small,Tax prep / bookkeeping / payroll processing / QuickBooks consulting / IRS audit representation,YES - explicit,"Small businesses, individuals, entrepreneurs",QuickBooks (dedicated QBO recommendation page),NO — QuickBooks only,"QuickBooks-centric tech stack; multilingual (serves Russian and Hindi-speaking clients)",Full-service practice = trusted advisor to multiple small businesses on Coney Island Ave corridor; multilingual = broad community reach (South Asian + Eastern European small businesses),No ADP mentions; QuickBooks-centric,"You're probably recommending QuickBooks Payroll to your clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Phone via Yelp or website contact form,"Also appeared in Caribbean targets list — multilingual practice (Russian + Hindi) opens South Asian and Eastern European small business markets; ADP's multilingual support is a differentiator worth mentioning",HIGH — Brooklyn address + payroll services + QBO page confirmed
18,★★★☆☆,Track 1+2,Exceptional Tax & Accounting Services LLC (already #11),,,,,,,,,,,,,,,,,,,See #11 above,,,
18,★★★☆☆,Track 1+2,Mei CPA PC (already #12),,,,,,,,,,,,,,,,,,,See #12 above,,,
18,★★★☆☆,Track 1+2,Empire Tax Professionals (Rachel Michaelov — Williamsburg),Rachel Michaelov EA,Via empiretaxusa.com,r***@empiretaxusa.com,empiretaxusa.com,"162 Withers St, Brooklyn NY 11211 (Williamsburg)",11211,2005,Small team,Tax planning / bookkeeping / payroll prep / sales tax / entity formation,YES - explicit,"Dentists, doctors, e-commerce, content creators",Certified QuickBooks ProAdvisor,NO — QuickBooks only,Content marketing; virtual CFO; modern digital presence; creator/e-commerce niche,"Medical and dental practice clients = high-value payroll; content creator/e-commerce niche = fast-growing businesses; Brooklyn Heights virtual CFO = broad advisory reach",QuickBooks ProAdvisor; no ADP,"You're probably recommending QuickBooks Payroll to your dental and medical clients. ADP matches that price — and pays you a lot more than QuickBooks does for every client you send our way. Most people in your position have never heard that.",Website or ZoomInfo email,"Already listed as #7 above — deduplicated here for reference; Williamsburg location + medical/creator niche is a strong combination",HIGH
